20880000,4493000,4493400,4491900,4491900,400,4493500,4493700,4492200,4492200,400
20940000,4491900,4492900,4491500,4492500,900,4492200,4493300,4492000,4492800,200
21000000,4492500,4492800,4491900,4492000,400,4492800,4493000,4492400,4492400,400
21060000,4492000,4492500,4491600,4492000,400,4492400,4493000,4492000,4492500,500
21120000,4492000,4492000,4491500,4491900,400,4492500,4492500,4491800,4492200,400
21180000,4491900,4493400,4491600,4493000,400,4492200,4493900,4492200,4493300,400
21240000,4493000,4493500,4492700,4493400,400,4493300,4494100,4493000,4494000,500
21300000,4493400,4493800,4493100,4493600,400,4494000,4494300,4493500,4494100,500
21360000,4493600,4493700,4492600,4493100,100,4494100,4494100,4493100,4493500,400
21420000,4493100,4493800,4492900,4493800,600,4493500,4494200,4493300,4494200,400
21480000,4493800,4493900,4493300,4493500,100,4494200,4494200,4493700,4493800,1400
21540000,4493500,4493900,4493100,4493500,400,4493800,4494100,4493500,4494000,400
21600000,4493500,4493900,4493300,4493900,100,4494000,4494000,4493400,4494000,300
21660000,4493900,4494900,4493900,4494900,100,4494000,4495000,4494000,4495000,400
21720000,4494900,4495800,4494600,4495500,100,4495000,4496300,4494900,4495800,400
21780000,4495500,4496600,4495400,4496500,100,4495800,4497000,4495800,4497000,500
21840000,4496500,4497400,4496500,4497300,600,4497000,4497500,4496800,4497500,100
21900000,4497300,4498000,4496700,4497300,400,4497500,4498400,4497300,4497600,400
21960000,4497300,4498000,4496800,4497600,400,4497600,4498300,4497200,4498000,500
22020000,4497600,4497600,4496100,4496700,400,4498000,4498100,4496600,4497200,300
22080000,4496700,4496800,4495800,4496200,100,4497200,4497300,4496000,4496700,400
22140000,4496200,4496500,4495700,4496200,400,4496700,4496900,4496000,4496600,400
22200000,4496200,4496200,4495500,4495700,400,4496600,4496700,4495800,4496100,1400
22260000,4495700,4496100,4494900,4495200,500,4496100,4496600,4495200,4495400,1000
22320000,4495200,4495500,4494900,4495000,500,4495400,4495900,4495300,4495400,400
22380000,4495000,4495500,4494500,4495400,400,4495400,4495900,4494900,4495600,1400
22440000,4495400,4495600,4495300,4495400,1900,4495600,4496100,4495600,4495800,400
